 SL. ,Station,Year,Month,Temperature,(Deg.Cel)
1,Dhaka,-11111,1953,1,25.18
13,Dhaka,-11111,1954,1,24.8
25,Dhaka,-11111,1955,1,25.08
37,Dhaka,-11111,1956,1,25.42
49,Dhaka,-11111,1957,1,24.7
61,Dhaka,-11111,1958,1,27.25
73,Dhaka,-11111,1959,1,25.28
85,Dhaka,-11111,1960,1,25.53
97,Dhaka,-11111,1961,1,25.98
109,Dhaka,-11111,1962,1,25
121,Dhaka,-11111,1963,1,25.39
133,Dhaka,-11111,1964,1,24.18
145,Dhaka,-11111,1965,1,25.85
157,Dhaka,-11111,1966,1,25.33
169,Dhaka,-11111,1967,1,25.24
181,Dhaka,-11111,1968,1,24.94
193,Dhaka,-11111,1969,1,25.08
205,Dhaka,-11111,1970,1,24.72
217,Dhaka,-11111,1971,1,24.73
229,Dhaka,-11111,1972,1,25.85
241,Dhaka,-11111,1973,1,26.65
253,Dhaka,-11111,1974,1,25.33
265,Dhaka,-11111,1975,1,25.14
277,Dhaka,-11111,1976,1,25.71
289,Dhaka,-11111,1977,1,24.95
301,Dhaka,-11111,1978,1,24.35
313,Dhaka,-11111,1979,1,26.72
325,Dhaka,-11111,1980,1,24.64
337,Dhaka,-11111,1981,1,25.12
349,Dhaka,-11111,1982,1,26.27
361,Dhaka,-11111,1983,1,24.48
373,Dhaka,-11111,1984,1,24.86
385,Dhaka,-11111,1985,1,26.24
397,Dhaka,-11111,1986,1,26.39
409,Dhaka,-11111,1987,1,26.69
421,Dhaka,-11111,1988,1,27.18
433,Dhaka,-11111,1989,1,25.36
445,Dhaka,-11111,1990,1,25.45
457,Dhaka,-11111,1991,1,24.28
469,Dhaka,-11111,1992,1,23.97
481,Dhaka,-11111,1993,1,24.52
493,Dhaka,-11111,1994,1,26.11
505,Dhaka,-11111,1995,1,25.35
517,Dhaka,-11111,1996,1,25.83
529,Dhaka,-11111,1997,1,25.08
541,Dhaka,-11111,1998,1,22.77
553,Dhaka,-11111,1999,1,26.95
565,Dhaka,-11111,2000,1,24.58
577,Dhaka,-11111,2001,1,24.41
589,Dhaka,-11111,2002,1,25.44
601,Dhaka,-11111,2003,1,21.76
613,Dhaka,-11111,2004,1,23.54
625,Dhaka,-11111,2005,1,24.52
637,Dhaka,-11111,2006,1,25.32
649,Dhaka,-11111,2007,1,24.56
661,Dhaka,-11111,2008,1,24.46
673,Dhaka,-11111,2009,1,25.92
685,Dhaka,-11111,2010,1,23.82
697,Dhaka,-11111,2011,1,23.45
709,Dhaka,-11111,2012,1,24.05
721,Dhaka,-11111,2013,1,24.23
733,Dhaka,-11111,2014,1,24.29
745,Dhaka,-11111,2015,1,24.77
757,Dhaka,-11111,2016,1,24.87
769,Dhaka,-11111,2017,1,26.37
781,Dhaka,-11111,2018,1,23.6
793,Dhaka,-11111,2019,1,27.17
805,Dhaka,-11111,2020,1,24.02
2,Dhaka,-11111,1953,2,29.52
14,Dhaka,-11111,1954,2,30.55
26,Dhaka,-11111,1955,2,28.52
38,Dhaka,-11111,1956,2,28.08
50,Dhaka,-11111,1957,2,26.36
62,Dhaka,-11111,1958,2,28.19
74,Dhaka,-11111,1959,2,27.45
86,Dhaka,-11111,1960,2,31.24
98,Dhaka,-11111,1961,2,25.36
110,Dhaka,-11111,1962,2,28.91
122,Dhaka,-11111,1963,2,30.44
134,Dhaka,-11111,1964,2,28.63
146,Dhaka,-11111,1965,2,28
158,Dhaka,-11111,1966,2,28.23
170,Dhaka,-11111,1967,2,29.3
182,Dhaka,-11111,1968,2,27.52
194,Dhaka,-11111,1969,2,29.17
206,Dhaka,-11111,1970,2,28.65
218,Dhaka,-11111,1971,2,27.37
230,Dhaka,-11111,1972,2,26.01
242,Dhaka,-11111,1973,2,29.73
254,Dhaka,-11111,1974,2,28.23
266,Dhaka,-11111,1975,2,28.18
278,Dhaka,-11111,1976,2,28.06
290,Dhaka,-11111,1977,2,27.6
302,Dhaka,-11111,1978,2,27.25
314,Dhaka,-11111,1979,2,27.21
326,Dhaka,-11111,1980,2,27.92
338,Dhaka,-11111,1981,2,27.03
350,Dhaka,-11111,1982,2,27.29
362,Dhaka,-11111,1983,2,26.69
374,Dhaka,-11111,1984,2,27.61
386,Dhaka,-11111,1985,2,29.15
398,Dhaka,-11111,1986,2,29.43
410,Dhaka,-11111,1987,2,30.34
422,Dhaka,-11111,1988,2,30.11
434,Dhaka,-11111,1989,2,28.84
446,Dhaka,-11111,1990,2,27.48
458,Dhaka,-11111,1991,2,28.88
470,Dhaka,-11111,1992,2,25.51
482,Dhaka,-11111,1993,2,28.77
494,Dhaka,-11111,1994,2,26.51
506,Dhaka,-11111,1995,2,27.97
518,Dhaka,-11111,1996,2,29.73
530,Dhaka,-11111,1997,2,27.76
542,Dhaka,-11111,1998,2,28.35
554,Dhaka,-11111,1999,2,31.13
566,Dhaka,-11111,2000,2,25.48
578,Dhaka,-11111,2001,2,28.66
590,Dhaka,-11111,2002,2,28.56
602,Dhaka,-11111,2003,2,27.97
614,Dhaka,-11111,2004,2,28.26
626,Dhaka,-11111,2005,2,29.1
638,Dhaka,-11111,2006,2,31.25
650,Dhaka,-11111,2007,2,27.11
662,Dhaka,-11111,2008,2,26.07
674,Dhaka,-11111,2009,2,29.7
686,Dhaka,-11111,2010,2,28.91
698,Dhaka,-11111,2011,2,28.73
710,Dhaka,-11111,2012,2,28.51
722,Dhaka,-11111,2013,2,28.91
734,Dhaka,-11111,2014,2,27.17
746,Dhaka,-11111,2015,2,28.42
758,Dhaka,-11111,2016,2,29.8
770,Dhaka,-11111,2017,2,29.57
782,Dhaka,-11111,2018,2,29.22
794,Dhaka,-11111,2019,2,28.35
806,Dhaka,-11111,2020,2,27.45
3,Dhaka,-11111,1953,3,32.65
15,Dhaka,-11111,1954,3,34.8
27,Dhaka,-11111,1955,3,32.9
39,Dhaka,-11111,1956,3,32.1
51,Dhaka,-11111,1957,3,31.79
63,Dhaka,-11111,1958,3,33.27
75,Dhaka,-11111,1959,3,32.5
87,Dhaka,-11111,1960,3,32.05
99,Dhaka,-11111,1961,3,33.06
111,Dhaka,-11111,1962,3,34.42
123,Dhaka,-11111,1963,3,33.35
135,Dhaka,-11111,1964,3,33.8
147,Dhaka,-11111,1965,3,32.38
159,Dhaka,-11111,1966,3,32.59
171,Dhaka,-11111,1967,3,30.15
183,Dhaka,-11111,1968,3,33.12
195,Dhaka,-11111,1969,3,32.68
207,Dhaka,-11111,1970,3,32.32
219,Dhaka,-11111,1971,3,32.42
231,Dhaka,-11111,1972,3,33.2
243,Dhaka,-11111,1973,3,31.36
255,Dhaka,-11111,1974,3,32.59
267,Dhaka,-11111,1975,3,33.13
279,Dhaka,-11111,1976,3,32.84
291,Dhaka,-11111,1977,3,33.2
303,Dhaka,-11111,1978,3,31.85
315,Dhaka,-11111,1979,3,32.87
327,Dhaka,-11111,1980,3,31.84
339,Dhaka,-11111,1981,3,30.42
351,Dhaka,-11111,1982,3,30.84
363,Dhaka,-11111,1983,3,31.44
375,Dhaka,-11111,1984,3,34.54
387,Dhaka,-11111,1985,3,34
399,Dhaka,-11111,1986,3,34.38
411,Dhaka,-11111,1987,3,33.08
