Title:  Solar Radiation of All station during year 1961 to 2017

SL.	Station	Year	Month	Decade	Solar Radiation
1	Dinajpur (10120)	1989	January	1	123.65
2	Dinajpur (10120)	1989	January	2	124.51
3	Dinajpur (10120)	1989	January	3	146.28
4	Dinajpur (10120)	1989	February	1	147.61
5	Dinajpur (10120)	1989	February	2	165.76
6	Dinajpur (10120)	1989	February	3	140.90
7	Dinajpur (10120)	1989	March	1	194.15
8	Dinajpur (10120)	1989	March	2	200.70
9	Dinajpur (10120)	1989	March	3	228.32
10	Dinajpur (10120)	1989	April	1	221.91
11	Dinajpur (10120)	1989	April	2	216.69
12	Dinajpur (10120)	1989	April	3	212.77
13	Dinajpur (10120)	1989	May	1	214.43
14	Dinajpur (10120)	1989	May	2	208.32
15	Dinajpur (10120)	1989	May	3	235.38
16	Dinajpur (10120)	1989	June	1	199.29
17	Dinajpur (10120)	1989	June	2	196.23
18	Dinajpur (10120)	1989	June	3	198.17
19	Dinajpur (10120)	1989	July	1	142.20
20	Dinajpur (10120)	1989	July	2	165.20
21	Dinajpur (10120)	1989	July	3	220.36
22	Dinajpur (10120)	1989	August	1	193.18
23	Dinajpur (10120)	1989	August	2	203.03
24	Dinajpur (10120)	1989	August	3	218.46
25	Dinajpur (10120)	1989	September	1	144.60
26	Dinajpur (10120)	1989	September	2	140.26
27	Dinajpur (10120)	1989	September	3	131.65
28	Dinajpur (10120)	1989	October	1	174.27
29	Dinajpur (10120)	1989	October	2	175.85
30	Dinajpur (10120)	1989	October	3	206.72
31	Dinajpur (10120)	1989	November	1	166.75
32	Dinajpur (10120)	1989	November	2	149.37
33	Dinajpur (10120)	1989	November	3	154.03
34	Dinajpur (10120)	1989	December	1	152.56
35	Dinajpur (10120)	1989	December	2	146.88
36	Dinajpur (10120)	1989	December	3	112.07
37	Dinajpur (10120)	1990	January	1	121.74
38	Dinajpur (10120)	1990	January	2	125.51
39	Dinajpur (10120)	1990	January	3	123.61
40	Dinajpur (10120)	1990	February	1	160.88
41	Dinajpur (10120)	1990	February	2	145.81
42	Dinajpur (10120)	1990	February	3	126.33
43	Dinajpur (10120)	1990	March	1	201.49
44	Dinajpur (10120)	1990	March	2	208.13
45	Dinajpur (10120)	1990	March	3	198.03
46	Dinajpur (10120)	1990	April	1	217.08
47	Dinajpur (10120)	1990	April	2	201.99
48	Dinajpur (10120)	1990	April	3	195.74
49	Dinajpur (10120)	1990	May	1	240.47
50	Dinajpur (10120)	1990	May	2	192.76
51	Dinajpur (10120)	1990	May	3	242.20
52	Dinajpur (10120)	1990	June	1	170.47
53	Dinajpur (10120)	1990	June	2	215.65
54	Dinajpur (10120)	1990	June	3	193.06
55	Dinajpur (10120)	1990	July	1	158.44
56	Dinajpur (10120)	1990	July	2	182.86
57	Dinajpur (10120)	1990	July	3	167.57
58	Dinajpur (10120)	1990	August	1	163.46
59	Dinajpur (10120)	1990	August	2	219.32
60	Dinajpur (10120)	1990	August	3	231.29
61	Dinajpur (10120)	1990	September	1	174.35
62	Dinajpur (10120)	1990	September	2	199.26
63	Dinajpur (10120)	1990	September	3	146.93
64	Dinajpur (10120)	1990	October	1	108.56
65	Dinajpur (10120)	1990	October	2	141.31
66	Dinajpur (10120)	1990	October	3	206.72
67	Dinajpur (10120)	1990	November	1	157.61
68	Dinajpur (10120)	1990	November	2	173.36
69	Dinajpur (10120)	1990	November	3	159.92
70	Dinajpur (10120)	1990	December	1	146.87
71	Dinajpur (10120)	1990	December	2	142.82
72	Dinajpur (10120)	1990	December	3	142.87
73	Dinajpur (10120)	1991	January	1	119.89
74	Dinajpur (10120)	1991	January	2	138.07
75	Dinajpur (10120)	1991	January	3	174.19
76	Dinajpur (10120)	1991	February	1	158.25
77	Dinajpur (10120)	1991	February	2	182.29
78	Dinajpur (10120)	1991	February	3	141.26
79	Dinajpur (10120)	1991	March	1	204.23
80	Dinajpur (10120)	1991	March	2	213.88
81	Dinajpur (10120)	1991	March	3	232.03
82	Dinajpur (10120)	1991	April	1	186.97
83	Dinajpur (10120)	1991	April	2	258.92
84	Dinajpur (10120)	1991	April	3	229.72
85	Dinajpur (10120)	1991	May	1	174.14
86	Dinajpur (10120)	1991	May	2	174.04
87	Dinajpur (10120)	1991	May	3	235.38
88	Dinajpur (10120)	1991	June	1	199.29
89	Dinajpur (10120)	1991	June	2	191.92
90	Dinajpur (10120)	1991	June	3	165.22
91	Dinajpur (10120)	1991	July	1	125.95
92	Dinajpur (10120)	1991	July	2	197.18
93	Dinajpur (10120)	1991	July	3	232.84
94	Dinajpur (10120)	1991	August	1	146.66
95	Dinajpur (10120)	1991	August	2	195.00
96	Dinajpur (10120)	1991	August	3	198.28
97	Dinajpur (10120)	1991	September	1	110.37
98	Dinajpur (10120)	1991	September	2	152.51
99	Dinajpur (10120)	1991	September	3	166.13
100	Dinajpur (10120)	1991	October	1	169.24
101	Dinajpur (10120)	1991	October	2	156.91
102	Dinajpur (10120)	1991	October	3	196.23
103	Dinajpur (10120)	1991	November	1	168.70
104	Dinajpur (10120)	1991	November	2	155.69
105	Dinajpur (10120)	1991	November	3	139.56
106	Dinajpur (10120)	1991	December	1	140.00
107	Dinajpur (10120)	1991	December	2	144.54
108	Dinajpur (10120)	1991	December	3	100.98
109	Dinajpur (10120)	1992	January	1	137.20
110	Dinajpur (10120)	1992	January	2	126.10
