Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dhaka,1953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1953,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1953,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1953,4,0,0,0,0,0,0,0,0,0,0,14,18,12,0,0,0,0,0,0,0,1,0,0,0,1,13,0,29,2,0,
Dhaka,1954,4,0,0,0,0,0,0,22,17,28,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
Dhaka,1955,4,0,0,0,0,0,0,0,0,0,0,0,6,9,5,0,0,1,0,0,0,0,0,0,1,1,9,0,0,22,0,
Dhaka,1956,4,24,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,17,1,49,8,8,0,0,
Dhaka,1957,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,18,23,0,0,0,0,0,0,12,0,28,34,0,0,0,0,
Dhaka,1958,4,8,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,6,***,0,0,23,0,0,0,0,0,12,10,
Dhaka,1959,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,25,0,0,0,0,0,0,0,0,0,
Dhaka,1953,11,0,0,0,0,0,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1953,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0
Dhaka,1954,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1954,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1960,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,
Dhaka,1961,4,0,0,0,8,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,3,12,
Dhaka,1962,4,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,39,0,1,0,0,1,0,0,0,48,14,0,54,
Dhaka,1963,4,0,0,1,0,0,2,0,0,0,0,3,0,0,0,13,5,0,16,0,0,20,13,0,0,0,0,0,0,0,25,
Dhaka,1964,4,0,0,6,3,0,0,0,0,0,0,0,0,0,5,0,11,103,1,20,10,0,0,0,0,0,0,1,106,21,9,
Dhaka,1965,4,0,8,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Dhaka,1966,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,3,4,0,2,0,1,0,16,0,0,0,
Dhaka,1954,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1954,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1
Dhaka,1955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1955,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1955,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1967,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,22,125,0,0,11,0,0,0,0,0,0,23,
Dhaka,1968,4,0,0,***,***,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,14,0,1,0,0,0,0,
Dhaka,1969,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,4,0,5,0,0,0,0,0,21,
Dhaka,1970,4,1,7,4,0,0,0,0,0,0,0,0,2,0,8,0,1,19,0,0,3,0,0,0,0,0,0,0,0,0,0,
Dhaka,1971,4,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0,0,0,0,0,
Dhaka,1972,4,0,0,21,0,34,83,0,0,0,0,0,49,0,8,8,0,1,3,3,0,17,0,0,0,0,0,0,21,0,0,
Dhaka,1973,4,0,0,0,0,0,0,0,0,0,0,0,3,40,16,0,0,0,25,0,0,11,0,22,1,0,0,0,10,0,3,
Dhaka,1955,11,0,0,0,0,0,0,17,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1955,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0
Dhaka,1956,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dhaka,1956,3,0,0,0,0,0,0,2,48,49,24,16,23,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,24
Dhaka,1975,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,51,0,0,0,0,0,1,0,3,21,0,1,0,0,
Dhaka,1976,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,2,6,10,0,
